insert into Inventory values (56:7c:ba:b6:bd:58, nssolo.fakeFQDN.us.dk, SUSE, IOT, SUSE OpenStack Cloud 8)
insert into Inventory values (55:64:00:d6:2b:77, aaan.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Workstation Optional (v. 7))
insert into Inventory values (ac:70:3d:be:4c:e8, Hsraaear.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Workstation (v. 6))
insert into Inventory values (40:d3:ea:87:4e:c0, spi.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Workstation (v. 6))
insert into Inventory values (7b:33:3e:03:ea:d4, sbsbdd.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Desktop (v. 6))
insert into Inventory values (cc:b8:55:51:21:ee, saaeatstn.fakeFQDN.us.dk, SUSE, Server, SUSE Linux Enterprise Server 12-SP3-LTSS)
insert into Inventory values (e4:1e:00:73:e6:8d, slhgelse.fakeFQDN.us.dk, SUSE, Server, SUSE Linux Enterprise Server for SAP 12-SP3)
insert into Inventory values (da:6e:17:34:53:58, gvevtgeg.fakeFQDN.us.dk, RedHat, IOT, Red Hat Enterprise Linux AppStream E4S (v. 8.0))
insert into Inventory values (22:ad:12:64:3b:54, eitttte.fakeFQDN.us.dk, SUSE, IOT, SUSE OpenStack Cloud 8)
insert into Inventory values (c2:0a:e2:35:eb:bb, ffletehte.fakeFQDN.us.dk, SUSE, IOT, SUSE Linux Enterprise High Performance Computing 15-ESPOS)
insert into Inventory values (20:7b:6c:a6:88:76, elllel.fakeFQDN.us.dk, SUSE, Server, SUSE Linux Enterprise Server for SAP 12-SP1)
insert into Inventory values (46:2a:ab:45:b4:22, rreeahe.fakeFQDN.us.dk, RedHat, Server, Red Hat Enterprise Linux Server Optional (v. 6))
insert into Inventory values (5b:3c:45:38:12:aa, as.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Workstation Optional (v. 6))
insert into Inventory values (a6:58:5e:01:14:73, lull.fakeFQDN.us.dk, SUSE, Server, SUSE Linux Enterprise Server 12-SP5)
insert into Inventory values (d4:aa:e2:81:bd:1a, gttg.fakeFQDN.us.dk, SUSE, IOT, SUSE OpenStack Cloud Crowbar 8)
insert into Inventory values (80:ec:57:63:6a:21, dcddc.fakeFQDN.us.dk, RedHat, IOT, Red Hat Enterprise Linux AppStream E4S (v. 8.0))
insert into Inventory values (3a:c5:32:51:d7:81, oPono.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Desktop (v. 6))
insert into Inventory values (c8:5b:1c:26:0c:ca, aterpert.fakeFQDN.us.dk, SUSE, Server, SUSE Linux Enterprise Server 12-SP5)
insert into Inventory values (50:ea:3b:e6:b2:ee, yysso.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Workstation (v. 7))
insert into Inventory values (4d:a7:8a:c4:0d:21, iiAfaA.fakeFQDN.us.dk, SUSE, Server, SUSE Linux Enterprise Server 12-SP5)
insert into Inventory values (4e:4e:2c:1c:76:d2, aappsnep.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Workstation Optional (v. 7))
insert into Inventory values (c1:eb:2d:26:40:12, ubkkke.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Workstation Supplementary (v. 6))
insert into Inventory values (d2:0a:55:4e:bb:0b, hlltrr.fakeFQDN.us.dk, SUSE, Server, SUSE Linux Enterprise Server 12-SP4)
insert into Inventory values (2d:34:db:8e:1e:6c, nttcn.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Desktop (v. 6))
insert into Inventory values (d3:b5:d4:5a:73:2e, vvamvpai.fakeFQDN.us.dk, SUSE, Desktop, SUSE Linux Enterprise Workstation Extension 15-SP1)
insert into Inventory values (2c:b7:66:a0:d4:36, sdsloos.fakeFQDN.us.dk, SUSE, IOT, SUSE OpenStack Cloud Crowbar 8)
insert into Inventory values (e8:80:88:76:48:16, ipese.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Desktop (v. 6))
insert into Inventory values (ae:11:54:8d:6a:55, opepohhyy.fakeFQDN.us.dk, SUSE, Desktop, SUSE Linux Enterprise Workstation Extension 12-SP4)
insert into Inventory values (76:8b:e4:a0:a3:bc, aauaguh.fakeFQDN.us.dk, SUSE, Server, SUSE Linux Enterprise Server 12-SP4)
insert into Inventory values (e6:44:1a:4c:3d:0a, sreugtatspue.fakeFQDN.us.dk, RedHat, IOT, Red Hat Enterprise Linux Client Optional (v. 7))
insert into Inventory values (bc:87:5b:5d:44:70, jieneje.fakeFQDN.us.dk, RedHat, IOT, Red Hat Enterprise Linux HPC Node Optional (v. 6))
insert into Inventory values (4d:a4:60:42:d4:26, rWnngn.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Workstation Supplementary (v. 6))
insert into Inventory values (c6:1d:b0:bd:44:ca, otnenon.fakeFQDN.us.dk, RedHat, IOT, Red Hat Enterprise Linux HPC Node Optional (v. 6))
insert into Inventory values (85:a2:7c:8c:d1:d4, aavv.fakeFQDN.us.dk, RedHat, IOT, Red Hat Enterprise Linux AppStream (v. 8))
insert into Inventory values (5d:85:24:75:4b:01, iiiai.fakeFQDN.us.dk, RedHat, Desktop, Red Hat Enterprise Linux Workstation (v. 7))
